model,make,Variant,price,displacement,Fuel_System,Fuel_Tank_Capacity,fuel_type,Height,Length,Width,body_type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,front_brakes,rear_brakes,front_suspension,rear_suspension,Rear_Tyre_&_Rim,power_steering,Power_Windows,Power_Seats,keyless_entry,power,Seating_Capacity,no,type,wheels_size,Boot_Space,Fuel_Gauge,Handbrake,Link,image_link
redi-go,datsun,D,279650,799 cc,Injection,28,petrol,1541 mm,3429 mm,1560 mm,hatchback,5,21.38 km/litre,24 km/litre,25.17 km/litre,no,5,185 mm,ventilated disc,drum,double pivot arm,h-type torsion beam,80/155R13,no,no,no,no,54ps@5678rpm,5,no,manual,80/155r13,222 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,T,351832,799 cc,Injection,28,petrol,1541 mm,3429 mm,1560 mm,hatchback,5,21.38 km/litre,24 km/litre,25.17 km/litre,no,5,185 mm,ventilated disc,drum,double pivot arm,h-type torsion beam,80/155R13,electric power,only front windows,no,no,54ps@5678rpm,5,no,manual,80/155r13,222 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,A,333419,799 cc,Injection,28,petrol,1541 mm,3429 mm,1560 mm,hatchback,5,21.38 km/litre,24 km/litre,25.17 km/litre,no,5,185 mm,ventilated disc,drum,double pivot arm,h-type torsion beam,80/155R13,electric power,no,no,no,54ps@5678rpm,5,no,manual,80/155r13,222 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,S,362000,799 cc,Injection,28,petrol,1541 mm,3429 mm,1560 mm,hatchback,5,21.38 km/litre,24 km/litre,25.17 km/litre,no,5,185 mm,ventilated disc,drum,double pivot arm,h-type torsion beam,80/155R13,electric power,no,no,no,54ps@5678rpm,5,no,manual,80/155r13,222 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,1.0 S,390000,999 cc,Injection,28,petrol,1541 mm,3429 mm,1560 mm,hatchback,5,no,no,22.5 km/litre,no,5,185 mm,ventilated disc,drum,double pivot arm,h-type torsion beam,80/155R13,electric power,no,no,no,68ps@5500rpm,5,no,manual,80/155r13,222 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,1.0 S Amt,437065,999 cc,Injection,28,petrol,1541 mm,3429 mm,1560 mm,hatchback,5,no,no,23 km/litre,no,5,185 mm,ventilated disc,drum,double pivot arm,h-type torsion beam,155/80R13,electric power,only front windows,no,yes,68ps@5500rpm,5,no,automatic,155/80r13,222 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
go,datsun,D,374990,1198 cc,Injection,35,petrol,1507 mm,3788 mm,1636 mm,hatchback,5,no,no,20.1 km/litre,864 kg,5,180 mm,ventilated disc,drum,macpherson strut with anti-roll bar,h-type torsion beam,155/70R13,no,only front windows,no,no,68ps@5000rpm,5,no,manual,155/70r13,265 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,T,468229,1198 cc,Injection,35,petrol,1507 mm,3788 mm,1636 mm,hatchback,5,no,no,20.1 km/litre,864 kg,5,180 mm,ventilated disc,drum,macpherson strut with anti-roll bar,h-type torsion beam,155/70R13,electric power,all windows,no,no,68ps@5000rpm,5,no,manual,155/70r13,265 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,T (O),502492,1198 cc,Injection,35,petrol,1507 mm,3788 mm,1636 mm,hatchback,5,20.6 km/litre,no,20.1 km/litre,864 kg,5,180 mm,ventilated disc,drum,macpherson strut with anti-roll bar,h-type torsion beam,155/70R13,electric power,all windows,no,no,68ps@5000rpm,5,no,manual,155/70r13,265 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,A (O),499990,1198 cc,Injection,35,petrol,1507 mm,3788 mm,1636 mm,hatchback,5,20.6 km/litre,no,20.1 km/litre,864 kg,5,180 mm,ventilated disc,drum,macpherson strut with anti-roll bar,h-type torsion beam,155/70R13,electric power,all windows,no,no,68ps@5000rpm,5,no,manual,155/70r13,265 litres,digital,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
